YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_centroid_x,body_centroid_y,tail_centroid_x,tail_centroid_y,head_centroid_x,head_centroid_y,body_contour_area,error,execution_time,frame_width,frame_height
2020,12,31,18,9,56,898016,361,308,354,326,369,286,0.0028431803645666775,False,0.00750422477722168,424,472
2020,12,31,18,9,56,905579,363,307,354,320,371,286,0.0027507395267029103,False,0.007538557052612305,424,472
2020,12,31,18,9,56,912922,365,309,356,320,372,291,0.00253337863767189,False,0.007318258285522461,424,472
2020,12,31,18,9,56,919169,None,None,None,None,None,None,None,True,0.006237506866455078,424,472
2020,12,31,18,9,56,925416,None,None,None,None,None,None,None,True,0.006210803985595703,424,472
2020,12,31,18,9,56,931877,None,None,None,None,None,None,None,True,0.006445169448852539,424,472
2020,12,31,18,9,56,938491,None,None,None,None,None,None,None,True,0.0065877437591552734,424,472
2020,12,31,18,9,56,944648,None,None,None,None,None,None,None,True,0.006137371063232422,424,472
2020,12,31,18,9,56,950868,None,None,None,None,None,None,None,True,0.006192922592163086,424,472
2020,12,31,18,9,56,959265,371,309,363,325,381,289,0.0028032059481931564,False,0.008369207382202148,424,472
2020,12,31,18,9,56,966493,369,308,362,324,377,287,0.002815697953309882,False,0.0071985721588134766,424,472
2020,12,31,18,9,56,974608,366,307,363,324,371,284,0.0028431803645666775,False,0.008092164993286133,424,472
2020,12,31,18,9,56,981859,366,305,358,318,370,282,0.002875659577870163,False,0.007223367691040039,424,472
2020,12,31,18,9,56,989550,368,300,366,319,371,276,0.0031080108730412535,False,0.007670402526855469,424,472
2020,12,31,18,9,56,996807,370,294,0,0,367,317,0.003090522065877838,False,0.0072286128997802734,424,472
2020,12,31,18,9,57,4496,371,286,366,307,376,265,0.002955608410617205,False,0.007668972015380859,424,472
2020,12,31,18,9,57,11726,372,281,368,300,379,259,0.0029431164055004795,False,0.0072023868560791016,424,472
2020,12,31,18,9,57,18993,375,274,371,296,381,248,0.0032304325231851615,False,0.007243633270263672,424,472
2020,12,31,18,9,57,27000,380,254,374,276,384,228,0.003140490086344739,False,0.00798487663269043,424,472
2020,12,31,18,9,57,34916,381,243,376,263,385,216,0.003135493284298049,False,0.007888317108154297,424,472
2020,12,31,18,9,57,42626,383,231,381,255,384,204,0.0032828989446754076,False,0.0076868534088134766,424,472
2020,12,31,18,9,57,49827,383,217,382,242,382,191,0.003292892548768788,False,0.007171630859375,424,472
2020,12,31,18,9,57,57834,382,205,0,0,384,229,0.003123001279181324,False,0.007985115051269531,424,472
2020,12,31,18,9,57,70560,383,195,380,213,384,171,0.0031479852894147745,False,0.012697458267211914,424,472
2020,12,31,18,9,57,78634,383,185,384,208,383,160,0.003090522065877838,False,0.008048534393310547,424,472
2020,12,31,18,9,57,87308,383,174,382,197,385,147,0.003342860569235689,False,0.008652210235595703,424,472
2020,12,31,18,9,57,94992,383,163,381,188,386,135,0.003205448512951711,False,0.0076563358306884766,424,472
2020,12,31,18,9,57,102842,385,150,382,176,385,122,0.003587703869523505,False,0.00782012939453125,424,472
2020,12,31,18,9,57,110396,383,138,382,162,381,109,0.003290394147745443,False,0.007527351379394531,424,472
2020,12,31,18,9,57,118388,381,124,382,149,378,97,0.0032654101375119925,False,0.007967948913574219,424,472
2020,12,31,18,9,57,125949,379,113,382,134,375,86,0.0031879597057882956,False,0.0075337886810302734,424,472
2020,12,31,18,9,57,133623,377,101,383,124,371,76,0.0032204389190917814,False,0.0076503753662109375,424,472
